n,two,three,four,five,six,seven,eight,nine
192,2.079441542,9.834780355,1.945910149,24.65232255,2.397895273,39.18219833,1.945910149,8.801619971
193,2.302585093,10.0656064,1.609437912,24.89851992,3.044522438,39.44377546,1.098612289,7.890582535
194,1.791759469,9.561560465,0.6931471806,24.4080217,2.397895273,38.96680942,1.791759469,7.893572074
195,1.791759469,9.566615236,0.6931471806,24.42318594,0.6931471806,38.99208305,2.397895273,8.302761581
196,2.079441542,9.860162428,1.098612289,24.72846819,1.098612289,39.30910676,0,8.819517541
197,2.48490665,10.27394705,1.609437912,25.15890538,2.397895273,39.75621459,1.386294361,7.908387159
198,1.386294361,9.181940897,0.6931471806,24.0800895,2.564949357,38.69055964,1.386294361,8.605936401
199,1.791759469,9.591512788,1.386294361,24.49787829,1.945910149,39.11656978,2.397895273,7.917171989
200,1.791759469,9.596418766,0.6931471806,24.51259617,2.63905733,39.14109948,0,7.920083199
201,0.6931471806,8.501063809,0.6931471806,23.42375055,1.386294361,38.05875609,1.386294361,8.841448244
202,1.791759469,9.602922854,1.609437912,24.53210835,2.63905733,39.17361966,1.609437912,7.236339343
203,2.48490665,10.30333692,0,25.24707359,2.197224577,39.90315924,0,7.931644021
204,2.302585093,10.12982599,0.6931471806,25.09117652,2.079441542,39.76486616,1.791759469,7.240649694
205,2.890371758,10.72871507,0,25.7123049,1.609437912,40.40827982,1.098612289,7.242082359
206,0.6931471806,8.539345996,0,23.53859706,2.302585093,38.25016687,0,8.631949429
207,1.386294361,9.234837844,1.386294361,24.23878007,3.784189634,38.95504347,0,8.349247801
208,1.791759469,9.644198555,1.098612289,24.65593499,2.564949357,39.3799966,1.609437912,7.253470383
209,0.6931471806,8.548691858,0,23.56663463,1.609437912,38.29689614,0,9.05017162
210,1.791759469,9.650400125,1.791759469,24.67453963,2.944438979,39.41100423,1.609437912,8.651724084
211,1.386294361,9.248791558,1.386294361,24.28064114,3.610917913,39.02481182,2.48490665,7.268920128
212,0.6931471806,8.557951184,0,23.5944126,1.098612289,38.34319273,0,8.370315996
213,1.386294361,9.253399861,1.098612289,24.29446603,3.17805383,39.04785326,2.708050201,7.9683195
214,2.48490665,10.3581237,0.6931471806,25.41143152,1.945910149,40.1770851,2.48490665,9.3615152
215,0.6931471806,8.571681377,2.079441542,23.63560316,2.833213344,38.41184364,1.098612289,8.38822281
216,1.791759469,9.673319386,1.098612289,24.74329717,2.079441542,39.52559973,0,8.392310009
217,3.526360525,11.42291323,1.098612289,26.52303143,2.708050201,41.33568079,1.386294361,9.380589348
218,1.791759469,9.703083488,2.079441542,24.83258918,1.386294361,39.67441926,1.945910149,7.307202315
219,1.791759469,9.707472669,0,24.84575668,1.609437912,39.69636502,1.609437912,8.408493774
220,2.079441542,10.00025122,1.098612289,25.14873184,1.609437912,40.00954163,1.386294361,8.700847193
221,2.890371758,10.82057796,1.386294361,25.98788512,3.555348061,40.86756609,1.098612289,8.011686729
222,2.302585093,10.24281286,0.6931471806,25.43013389,2.944438979,40.32978976,1.945910149,8.420462002
223,2.63905733,10.58779578,1.098612289,25.79214995,1.609437912,40.70885463,0.6931471806,8.936561205
224,1.386294361,9.341368634,1.609437912,24.55837197,3.17805383,39.48769586,2.63905733,8.430981495
225,0.6931471806,8.650324504,1.098612289,23.87153246,2.079441542,38.805059,0,7.334981879
226,1.386294361,9.345570321,0,24.57097701,2.833213344,39.50870424,2.48490665,8.724532511
227,1.791759469,9.754523399,1.386294361,24.98690844,1.386294361,39.93161723,0,9.291274989
228,2.079441542,10.04706828,1.945910149,25.28918226,1.098612289,40.24362442,2.564949357,7.350516172
229,1.386294361,9.358070484,0,24.60847745,2.397895273,39.57120489,1.386294361,8.045588281
230,0.6931471806,8.666991557,0.6931471806,23.9215336,2.564949357,38.88839421,1.791759469,8.742574238
231,1.791759469,9.768354879,1.386294361,25.02840276,2.772588722,40.00077423,0,8.74766979
232,2.48490665,10.46766435,1.386294361,25.74004935,2.079441542,40.72477464,2.302585093,8.058327307
233,2.302585093,10.29282328,0.6931471806,25.58016394,2.833213344,40.57983784,0.6931471806,8.060855753
234,0.6931471806,8.687442167,0.6931471806,23.98288541,3.401197382,38.9906472,1.945910149,7.369600721
235,1.386294361,9.382611593,0,24.68210069,0,39.69391013,0,8.982812222
236,0.6931471806,8.691482577,1.609437912,23.99500664,0,39.01084923,1.098612289,8.476996002
237,1.386294361,9.386643856,1.098612289,24.69419747,0.6931471806,39.7140714,0,7.380879036
238,1.791759469,9.795456808,0,25.10970833,0.6931471806,40.13628314,2.397895273,8.770283819
239,2.48490665,10.49460201,1.386294361,25.82086144,2.890371758,40.85945998,2.63905733,9.181940897
240,2.48490665,10.50254381,1.791759469,25.84468659,2.833213344,40.89916816,1.098612289,8.088254727
241,2.079441542,10.10364903,0.6931471806,25.45892368,2.079441542,40.52652541,1.791759469,8.090708716
242,2.48490665,10.51564157,0.6931471806,25.88397948,1.098612289,40.96465563,1.609437912,7.399398083
243,1.791759469,9.828332879,0,25.20833628,2.564949357,40.30066264,0,9.97287368
244,1.386294361,9.426096705,2.564949357,24.81255587,2.197224577,39.91133519,0,8.804475184
245,1.791759469,9.834780355,1.386294361,25.22767866,2.708050201,40.33289985,3.135494216,8.52098599
246,2.079441542,10.12695105,1.098612289,25.52882944,3.17805383,40.64303449,0,8.812843434
247,1.386294361,9.437635294,1.386294361,24.84717161,0,39.96902801,0,7.429520843
248,2.079441542,10.13459927,0,25.55177401,1.945910149,40.68127527,0.6931471806,9.225426009
249,1.386294361,9.445254379,1.791759469,24.87002883,0,40.00712335,1.386294361,8.131530711
250,2.63905733,10.70369381,0.6931471806,26.13983896,3.401197382,41.28832788,2.397895273,9.843896771
251,1.386294361,9.456575255,2.397895273,24.90399143,2.833213344,40.06372761,1.609437912,8.552753367
252,1.791759469,9.865162438,1.098612289,25.31882469,2.772588722,40.48480954,1.386294361,7.456454555
253,0.6931471806,8.769040811,0,24.22768128,2.833213344,39.39864019,2.079441542,8.557374981
254,1.386294361,9.464051925,1.098612289,24.92642141,1.945910149,40.10111088,1.386294361,8.154787573
255,1.791759469,9.872615889,0.6931471806,25.34118499,1.791759469,40.52207662,0,9.412709624
256,0.6931471806,8.776475789,1.945910149,24.24998621,3.218875825,39.43581506,1.098612289,7.471363088
257,1.791759469,9.877554171,0,25.3559998,0,40.54676792,1.791759469,9.421816118
258,2.302585093,10.39329381,1.945910149,25.88157345,2.944438979,41.08218353,1.791759469,8.580167991
259,2.995732274,11.09559018,1.098612289,26.60219569,2.772588722,41.82116827,1.386294361,8.871785969
260,1.791759469,9.899479531,1.386294361,25.42177574,1.609437912,40.65639423,1.386294361,8.182000136
261,1.386294361,9.497021944,0.6931471806,25.02533137,2.564949357,40.26596065,2.079441542,8.590257762
262,0.6931471806,8.805674944,1.098612289,24.33758365,2.079441542,39.58181076,0,7.493873887
263,3.17805383,11.29834514,0,26.84583155,2.397895273,42.10570382,1.945910149,8.188689124
264,1.386294361,9.514879561,0.6931471806,25.07890417,2.833213344,40.35524857,1.609437912,8.885164095
265,0.6931471806,8.823500728,1.386294361,24.39106099,2.995732274,39.67093964,1.945910149,9.584933816
266,2.302585093,10.43646598,2.079441542,26.01108919,1.098612289,41.2980418,1.609437912,7.510430556
267,2.48490665,10.62522219,0,26.21271833,1.945910149,41.51254872,0,8.611229833
268,0.6931471806,8.837536046,1.098612289,24.43316693,2.079441542,39.7411162,0.6931471806,8.902727664
269,2.302585093,10.45045222,1.386294361,26.05304767,2.833213344,41.36797222,0,7.519149958
270,2.079441542,10.23250349,0,25.8454855,3.17805383,41.17079252,1.945910149,7.520234556
271,1.791759469,9.948843254,0,25.5698666,3.17805383,40.90321182,0,8.62101252
272,1.791759469,9.952277717,1.098612289,25.58016997,2.772588722,40.92038407,1.098612289,9.473704137
273,1.791759469,9.955700424,1.945910149,25.59043807,1.945910149,40.93749754,0.6931471806,7.532088144
274,2.890371758,11.06112318,0,26.70950476,2.302585093,42.07023882,1.945910149,9.144734615
275,1.791759469,9.969275293,1.609437912,25.6311626,2.708050201,41.00537162,1.945910149,8.926384681
276,1.386294361,9.566615236,1.386294361,25.23411106,3.17805383,40.61392649,0,9.337149219
277,0.6931471806,8.875147317,1.791759469,24.54600072,1.609437912,39.92917247,2.397895273,8.242756346
278,2.48490665,10.67081413,0.6931471806,26.34949309,2.397895273,41.74050487,1.609437912,8.939056445
279,2.302585093,10.49460201,1.386294361,26.18549632,3.465735903,41.58871878,2.397895273,8.655040258
280,2.48490665,10.6829959,1.098612289,26.38603812,2.772588722,41.80141281,0,7.558516743
281,2.079441542,10.28301928,0,25.99703237,3.433987204,41.42336977,1.386294361,9.3539211
282,2.772588722,10.98271313,1.791759469,26.70983368,0.6931471806,42.14929739,1.098612289,9.648853334
283,2.63905733,10.85730526,2.079441542,26.60066818,2.772588722,42.05636805,1.945910149,7.574045005
284,1.791759469,10.01538665,0,25.76949641,1.945910149,41.23592755,0,9.186559843
285,1.386294361,9.612600349,1.609437912,25.37206629,3.295836866,40.84385168,1.386294361,8.679822115
286,0.6931471806,8.921057018,1.098612289,24.6837298,0.6931471806,40.15872089,1.609437912,8.682877107
287,1.386294361,9.61580548,1.098612289,25.38168168,0.6931471806,40.85987731,2.397895273,8.974111581
288,0.6931471806,8.924257021,1.386294361,24.6933298,2.197224577,40.17472089,0.6931471806,8.978156076
