Date,venue,City,State,Country,Recording Surfaced
10/6/1991,Gothic Theatre,Englewood,CO,United States,Y
11/6/1991,The Pompadour Rock & Roll Club,Salt Lake City,UT,United States,N
13/6/1991,Warfield Theater,San Francisco,CA,United States,Y
14/6/1991,Palladium,Hollywood,CA,United States,Y
14/6/1991,Hollywood Palladium,Hollywood,CA,United States,Y
15/6/1991,Iguana's,Tijuana,,Mexico ,N
17/6/1991,Crest Theater,Sacramento,CA,United States,Y
18/6/1991,Catalyst,Santa Cruz,CA,United States,Y
20/6/1991,Melody Ballroom,Portland,OR,United States,Y
15/8/1991,The Roxy Theatre,West Hollywood,CA,United States,N
20/8/1991,Sir Henry's Pub,Cork,,Ireland,Y
21/8/1991,The Top Hat,Dun Laoghaire,,Ireland,N
23/8/1991,Richfield Avenue (Reading Festival),Reading,,United Kingdom,Y
24/8/1991,Tanzbrunnen (Monsters Of Spex),Köln,,Germany ,Y
25/8/1991,Domein Kiewit (Pukkelpop),Hasselt,,Belgium,Y
27/8/1991,Aladin Music Hall (Überschall 91),Bremen,,Germany ,Y
28/8/1991,Easy Schorre,Halle,,Germany ,N
29/8/1991,Longhorn Country & Western Saloon,Stuttgart,,Germany ,N
30/8/1991,Serenadenhof,Nuremberg,,Germany ,N
1/9/1991,De Doelen (Ein Abend in Wien),Rotterdam,,Netherlands,Y
16/9/1991,Beehive Music & Video,Seattle,WA,United States,Y
20/9/1991,Opera House,Toronto,ON,Canada,Y
21/9/1991,Foufounes Électriques,Montréal,QC,Canada,Y
23/9/1991,Axis Nightclub,Boston,MA,United States,Y
23/9/1991,Axis Nightclub (WFNX Birthday Bash),Boston,MA,United States,Y
24/9/1991,Axis Nightclub (all ages),Boston,MA,United States,Y
24/9/1991,Axis Nightclub,Boston,MA,United States,Y
25/9/1991,Club Babyhead,Providence,RI,United States,Y
26/9/1991,The Moon,New Haven,CT,United States,Y
27/9/1991,City Gardens,Trenton,NJ,United States,Y
28/9/1991,Tower Records,New York,NY,United States,N
28/9/1991,Marquee,New York,NY,United States,Y
30/9/1991,Graffiti,Pittsburgh,PA,United States,N
1/10/1991,J.C. Dobbs,Philadelphia,PA,United States,Y
2/10/1991,9:30 Club,Washington,DC,United States,Y
4/10/1991,Cat's Cradle,Chapel Hill,NC,United States,N
4/10/1991,Cat's Cradle,Chapel Hill,NC,United States,Y
5/10/1991,40 Watt Club,Athens,GA,United States,N
6/10/1991,The Masquerade,Atlanta,GA,United States,Y
7/10/1991,Omni-New Daisy Theatre,Memphis,TN,United States,N
9/10/1991,Stache's,Columbus,OH,United States,N
